Type,Resistive Attack,DiffAttack
gentletap,-0.006338716,-0.013268948
gentletap,-0.006338701,-0.09065683
gentletap,-0.006338704,-0.01904418
gentletap,-0.006338704,-0.016734082
gentletap,-0.006338708,-0.02135428
gentletap,-0.62119305,-0.8545116
gentletap,-0.75430584,-1.0534619
gentletap,-0.8493864,-1.3298842
gentletap,-0.6148544,-0.9532819
gentletap,-0.8430477,-1.1653045
gentletap,-0.26622564,-0.30318698
gentletap,-0.03169352,-0.03515865
gentletap,-1.4832568,-2.1173754
gentletap,-1.1092733,-1.7364614
gentletap,-1.5529827,-2.183636
gentletap,-1.6163697,-2.297845
gentletap,-1.7558212,-2.3552883
gentletap,-1.2106926,-1.8321056
gentletap,-1.5403051,-2.2102299
gentletap,-1.844563,-2.602271
gentletap,-3.3404973,-4.718463
gentletap,-2.9348202,-3.9512577
gentletap,-2.6876109,-3.9223514
gentletap,-2.5925303,-3.5211844
gentletap,-2.421385,-3.2530158
gentletap,-2.231224,-2.8064353
gentletap,-1.2423861,-2.1756606
gentletap,-1.7748373,-2.4724832
gentletap,-2.1551595,-3.0526276
gentletap,-1.6417245,-2.3185794
gentletap,-1.9269662,-2.3924484
gentletap,-1.888934,-2.432959
gentletap,-1.0141927,-1.4669694
gentletap,-0.51977384,-0.87552696
gentletap,-0.9698218,-1.4110482
gentletap,-0.5324512,-0.8731888
gentletap,-2.0727563,-2.5751998
gentletap,-0.62753177,-0.9382382
gentletap,-0.557806,-1.5176464
gentletap,-0.39299968,-1.0871803
gentletap,-0.006338716,-0.01557906
gentletap,-3.3214812,-5.19034
gentletap,-0.006338716,-0.010958888
gentletap,-2.25024,-3.2609024
gentletap,-2.0981112,-3.4356506
gentletap,-2.2882721,-3.744781
gentletap,-2.364337,-2.9141374
gentletap,-1.9333049,-2.4680896
gentletap,-1.0712411,-1.6314368
gentletap,-2.0283854,-2.585116
gentletap,-2.681272,-3.1513743
gentletap,-3.1630135,-3.8502638
gentletap,-1.8001921,-2.2495036
gentletap,-2.1171274,-2.6091757
gentletap,-2.1868532,-2.7008471
gentletap,-2.0283854,-2.5227437
gentletap,-2.3072884,-2.6988478
gentletap,-1.2614021,-1.8204427
gentletap,-1.9903532,-2.4015484
gentletap,-1.781176,-2.1623402
gentletap,-2.0981112,-2.5428026
gentletap,-1.9016113,-2.3359075
gentletap,-2.0600789,-2.5740728
gentletap,-1.4579021,-1.8679422
gentletap,-0.03169352,-0.3239193
gentletap,-0.025354818,-0.04614559
gentletap,-1.7368051,-2.2057524
gentletap,-1.4388859,-1.8720269
gentletap,-1.3438053,-1.8323884
gentletap,-1.5339665,-2.088387
gentletap,-0.050709635,-0.0795857
gentletap,-0.006338716,-0.040989995
gentletap,-1.1409668,-1.659581
gentletap,-1.6417246,-2.167269
gentletap,-1.6480633,-2.128561
gentletap,-1.736805,-2.3027759
gentletap,-1.7051115,-2.1590433
gentletap,-1.7431438,-2.2328818
gentletap,-1.7114503,-2.2011883
gentletap,-1.6670793,-2.0459332
gentletap,-1.8762567,-2.4722586
gentletap,-3.086949,-3.4253767
gentletap,-3.27711,-5.1829305
gentletap,-1.4452246,-2.407375
gentletap,-1.8001921,-2.4805121
gentletap,-2.167837,-3.7791214
gentletap,-1.0649023,-2.7166133
gentletap,-1.4262085,-3.4891148
gentletap,-1.4198698,-2.1232908
gentletap,-2.383353,-3.2380846
gentletap,-1.8699179,-2.8366885
gentletap,-0.18382251,-1.174849
gentletap,-1.7177889,-2.9814055
gentletap,-2.1931918,-3.9188254
gentletap,-1.4959342,-3.1661258
gentletap,-1.350144,-3.0792427
gentletap,-1.781176,-2.3829532
gentletap,-1.9269662,-2.8221242
gentletap,-0.70359623,-0.9969771
gentletap,-0.5451286,-0.6941291
gentletap,-1.6734179,-3.2396555
gentletap,-0.6021769,-0.8528211
gentletap,-1.0458863,-1.9052379
gentletap,-0.82403153,-1.2975991
gentletap,-2.256579,-2.9472945
gentletap,-2.0474014,-2.8178148
gentletap,-1.7875147,-2.3303847
gentletap,-2.8017075,-3.5005083
gentletap,-0.7923381,-1.5061543
gentletap,-2.2819338,-2.8120983
gentletap,-1.9142888,-2.3786159
gentletap,-1.6036923,-1.9964068
gentletap,-1.6544019,-2.0505815
gentletap,-1.3121119,-1.7417877
gentletap,-1.1219507,-1.8242166
gentletap,-1.2867571,-1.8908443
gentletap,-1.115612,-1.5730089
gentletap,-1.2297087,-1.7021211
gentletap,-1.1726604,-1.7998486
gentletap,-1.0332088,-1.5125515
gentletap,-0.85572517,-1.2680755
gentletap,-1.071241,-1.9213524
gentletap,-2.7509978,-3.6473107
gentletap,-1.2614022,-1.6183105
gentletap,-2.2882724,-3.012484
gentletap,-1.3691602,-2.7840872
gentletap,-1.8065308,-2.3436255
gentletap,-1.4262085,-1.7854267
gentletap,-1.0268701,-3.1405983
gentletap,-1.888934,-2.4676104
gentletap,-1.4135311,-2.1550684
gentletap,-0.76064456,-1.476771
gentletap,-1.996692,-2.9449818
gentletap,-2.123466,-3.015159
gentletap,-1.8889339,-2.3694315
gentletap,-1.952321,-2.3923922
gentletap,-1.4769181,-2.0336487
gentletap,-2.0347242,-2.5533383
gentletap,-1.5276277,-2.0185208
gentletap,-1.331128,-1.9352152
gentletap,-1.115612,-2.5675006
gentletap,-1.9142888,-2.490655
gentletap,-2.2122078,-2.9872413
gentletap,-2.7636752,-3.9025474
gentletap,-1.4832568,-1.9625995
gentletap,-2.275595,-3.004427
gentletap,-2.0220468,-3.2267563
gentletap,-1.5276278,-2.1675215
gentletap,-2.0537403,-2.5769746
gentletap,-2.0664177,-2.8310559
gentletap,-0.95080566,-1.5387224
gentletap,-0.43737066,-1.0044966
gentletap,-1.0395476,-1.5766424
gentletap,-1.8889339,-2.6108356
gentletap,-1.22337,-1.6553559
gentletap,-1.0141928,-1.3780313
gentletap,-1.1980152,-1.7535907
gentletap,-0.6782413,-1.4059181
gentletap,-1.5276277,-2.8293607
gentletap,-0.1584676,-0.5939187
gentletap,-1.6227083,-2.5525177
gentletap,-3.5940454,-5.663882
gentletap,-3.6003842,-6.5064716
gentletap,-3.4736104,-4.975166
gentletap,-3.4989648,-5.477553
gentletap,-3.4038844,-5.8953114
gentletap,-2.6685946,-5.4834337
gentletap,-3.5496745,-6.237458
